GEOID,pop,lon,lat
1001,54571,-86.64275725,32.53492069
1003,182265,-87.74984469,30.66097389
1005,27457,-85.39319697,31.86960322
1007,22915,-87.12643908,32.99864431
1009,57322,-86.56737096,33.98086739
1011,10914,-85.7156972,32.10055421
1013,20947,-86.68028922,31.75243394
1015,118572,-85.82603487,33.77142782
1017,34215,-85.39204294,32.91437222
1019,25989,-85.60379383,34.17595554
1021,43643,-86.71881373,32.84785313
1023,13859,-88.26320127,32.01961076
1025,25833,-87.83080985,31.67665958
1027,13932,-85.86054706,33.26908589
1029,14972,-85.51876792,33.67455785
1031,49948,-85.98820697,31.40262717
1033,54428,-87.80529677,34.70025405
1035,13228,-86.99368134,31.42926727
1037,11539,-86.24765922,32.9362269
1039,37765,-86.45124789,31.24849285
1041,13906,-86.31354766,31.73148618
1043,80406,-86.8676194,34.13194107
1045,50251,-85.61103196,31.43181947
1047,43820,-87.10647878,32.32597454
1049,71109,-85.80414145,34.45977282
1051,79303,-86.14914634,32.59664789
1053,38319,-87.16161983,31.12612254
1055,104430,-86.03476221,34.04525413
1057,17241,-87.73886196,33.72120615
1059,31704,-87.84381199,34.44167063
1061,26790,-85.83898489,31.0950167
1063,9045,-87.95223434,32.85313741
1065,15760,-87.62911774,32.76266426
1067,17302,-85.2414063,31.51469441
1069,101547,-85.30251975,31.15318422
1071,53227,-85.99930068,34.77941471
1073,658466,-86.89649028,33.55431476
1075,14564,-88.09689886,33.7792058
1077,92709,-87.65401946,34.90114018
1079,34339,-87.31104473,34.52165092
1081,140247,-85.35556271,32.60113647
1083,82782,-86.9813695,34.81007651
1085,11299,-86.6501077,32.15475001
1087,21452,-85.6926685,32.38597359
1089,334811,-86.55020654,34.7630897
1091,21027,-87.78951929,32.24761342
1093,30776,-87.88713843,34.13654972
1095,93019,-86.30663697,34.36696193
1097,412992,-88.19752958,30.68514691
1099,23068,-87.3654309,31.57083661
1101,229363,-86.20761429,32.22025794
1103,119490,-86.85292781,34.453475
1105,10591,-87.29440084,32.63846569
1107,19746,-88.08869261,33.28087688
1109,32899,-85.94092074,31.80271505
1111,22913,-85.45907017,33.29378741
1113,52947,-85.1849626,32.28838006
1115,83593,-86.31468775,33.71570291
1117,195085,-86.66064863,33.26427782
1119,13763,-88.19879135,32.59101408
1121,82291,-86.16590692,33.38005743
1123,41616,-85.79750223,32.86240494
1125,194656,-87.52502995,33.28954985
1127,67023,-87.29735743,33.80333478
1129,17581,-88.20787681,31.4076038
1131,11670,-87.30819909,31.98924196
1133,24484,-87.37368352,34.14922499
2013,3141,-161.9479354,55.22443639
2016,5561,-92.48771757,52.68021397
2020,291826,-149.1947208,61.14833502
2050,17013,-160.1986381,60.84953189
2060,997,-156.9871704,58.73109449
2068,1826,-150.0088487,63.67347281
2070,4847,-158.3262273,59.71576606
2090,97581,-146.5627987,64.80851869
2100,2508,-135.4725901,59.07387798
2105,2150,-135.2756037,58.11994658
2110,31275,-134.2342386,58.44571052
2122,55400,-151.7043048,60.1153045
2130,13477,-131.0338226,55.49224882
2150,13592,-153.7504081,57.65389537
2164,1631,-156.5246355,58.30421832
2170,88995,-149.5789942,62.30453168
2180,9492,-164.245055,64.83513995
2185,9430,-153.50636,69.36576432
2188,7523,-160.0078694,67.01081128
2195,3815,-133.5199606,56.68482282
2198,5559,-132.8458626,55.39568985
2220,8881,-135.3087086,57.1804507
2230,968,-135.3377927,59.55852186
2240,7029,-143.2070598,63.87691365
2261,9636,-144.7608395,61.41636348
2270,7459,-163.52402,62.16045262
2275,2369,-132.1276808,56.291678
2282,662,-140.4288303,59.86323271
2290,5588,-151.3899602,65.50937957
4001,71518,-109.4888427,35.39559581
4003,131346,-109.7511407,31.87956519
4005,134421,-111.7705049,35.83872984
4007,53597,-110.8117366,33.79975226
4009,37220,-109.8874377,32.9327163
4011,8437,-109.2400975,33.2153571
4012,20489,-113.981338,33.72926402
4013,3817117,-112.4912333,33.34883423
4015,200186,-113.7579103,35.70404491
4017,107449,-110.3214028,35.39962922
4019,980263,-111.7899455,32.09738149
4021,375770,-111.3447161,32.90431313
4023,47420,-110.8465712,31.52600097
4025,211033,-112.5538714,34.59988352
4027,195751,-113.9055638,32.76940436
5001,19019,-91.37490552,34.29080843
5003,21853,-91.76844851,33.19122235
5005,41513,-92.33696836,36.28718865
5007,221339,-94.2561867,36.33872271
5009,36903,-93.09150492,36.30859037
5011,11508,-92.16240165,33.46642243
5013,5368,-92.5030441,33.558034
5015,27446,-93.53818332,36.34102471
5017,11800,-91.29397262,33.26725208
5019,22995,-93.17636749,34.05095586
5021,16083,-90.41738358,36.36839418
5023,25970,-92.02673647,35.5381091
5025,8689,-92.18514411,33.89836321
5027,24552,-93.22730868,33.21428721
5029,21273,-92.70131543,35.26221463
5031,96443,-90.63285135,35.83078961
5033,61948,-94.24311607,35.58883105
5035,50902,-90.30885881,35.20794115
5037,17870,-90.77122683,35.29572616
5039,8116,-92.65444015,33.96983114
5041,13008,-91.25394538,33.83333122
5043,18509,-91.72002059,33.5894506
5045,113237,-92.33204441,35.14697827
5047,18125,-93.89061944,35.51235059
5049,12245,-91.81823727,36.38166977
5051,96024,-93.15042536,34.5766865
5053,17853,-92.42358304,34.29001774
5055,42090,-90.55907555,36.11769237
5057,22609,-93.66844314,33.73530456
5059,32923,-92.94600577,34.3176345
5061,13789,-93.99349335,34.08874289
5063,36647,-91.56972451,35.74157981
5065,13696,-91.9134174,36.09487464
5067,17997,-91.21457099,35.59923043
5069,77435,-91.93151454,34.26878501
5071,25540,-93.45991005,35.57005491
5073,7645,-93.607039,33.2409811
5075,17415,-91.10707543,36.04124832
5077,10424,-90.78206734,34.78062295
5079,14134,-91.73332481,33.95746745
5081,13171,-94.2343409,33.70053989
5083,22353,-93.71630623,35.21527236
5085,68356,-91.8886658,34.75426816
5087,15717,-93.72456294,36.01096475
5089,16653,-92.68421788,36.26834775
5091,43462,-93.89156061,33.3121466
5093,46480,-90.05416557,35.76390195
5095,8149,-91.2038916,34.67783836
5097,9487,-93.65953157,34.53879342
5099,8997,-93.30714329,33.66396611
5101,8330,-93.21786623,35.91997239
5103,26120,-92.88193412,33.59335516
5105,10445,-92.93147113,34.94737469
5107,21757,-90.84802277,34.42829161
5109,11291,-93.65634167,34.16349794
5111,24583,-90.66293028,35.57403642
5113,20662,-94.22806934,34.48584321
5115,61754,-93.03416009,35.44763311
5117,8715,-91.55277144,34.82978803
5119,382748,-92.31179702,34.76993382
5121,17969,-91.02771745,36.3414838
5123,28258,-90.74777607,35.02200362
5125,107118,-92.67657299,34.64661813
5127,11233,-94.06325503,34.86076529
5129,8195,-92.69948825,35.91090296
5131,125744,-94.27391602,35.19925826
5133,17058,-94.24121629,33.99719791
5135,17264,-91.47986351,36.1611568
5137,12394,-92.15668364,35.8598661
5139,41639,-92.59728835,33.17136313
5141,17295,-92.51570279,35.58065052
5143,203065,-94.21557899,35.97906736
5145,77076,-91.74555047,35.25627396
5147,7260,-91.24306981,35.18632969
5149,22185,-93.41124913,35.00259708
6001,1510271,-121.9178859,37.65054956
6003,1175,-119.820653,38.59725063
6005,38091,-120.6511156,38.44638952
6007,220000,-121.6006717,39.66692938
6009,45578,-120.5541322,38.2046064
6011,21419,-122.2370285,39.17757314
6013,1049025,-121.9512069,37.92342159
6015,28610,-123.9578138,41.74495738
6017,181058,-120.5246469,38.77873797
6019,930450,-119.6493212,36.75817951
6021,28122,-122.3922068,39.59840478
6023,134623,-123.9158195,40.7050099
6025,174528,-115.3653197,33.03950599
6027,18546,-117.4107897,36.51112681
6029,839631,-118.7299,35.34284872
6031,152982,-119.8155025,36.07536101
6033,64665,-122.7531841,39.0996467
6035,34895,-120.5943329,40.67359039
6037,9818605,-118.2610026,34.1979924
6039,150865,-119.7626459,37.21803587
6041,252409,-122.7488586,38.05518334
6043,18251,-119.9055173,37.58152188
6045,87841,-123.4315539,39.43362384
6047,255793,-120.7176686,37.19185695
6049,9686,-120.7249674,41.58984787
6051,14202,-118.8867093,37.93899035
6053,415057,-121.3089016,36.2397744
6055,136484,-122.3305332,38.50647366
6057,98764,-120.7687518,39.3013696
6059,3010232,-117.7761657,33.6769114
6061,348432,-120.717743,39.06341908
6063,20007,-120.8385976,40.00468248
6065,2189641,-115.9938589,33.74367604
6067,1418788,-121.3442801,38.44937288
6069,55269,-121.0749956,36.60570592
6071,2035210,-116.1784559,34.84143468
6073,3095313,-116.7702054,33.02820232
6075,805235,-122.6939756,37.75971499
6077,685306,-121.2714366,37.93490781
6079,269637,-120.4521969,35.38741553
6081,718451,-122.355662,37.43620921
6083,423895,-120.0307832,34.53834087
6085,1781642,-121.6962777,37.23248639
6087,262382,-122.0097854,37.02160595
6089,177223,-122.0405216,40.76376659
6091,3240,-120.5159964,39.5804001
6093,44900,-122.5403742,41.59264997
6095,413344,-121.9400069,38.26691911
6097,483878,-122.922544,38.52529324
6099,514453,-120.9977416,37.55916541
6101,94737,-121.6948422,39.03452277
6103,63463,-122.2338849,40.12573617
6105,13786,-123.1126277,40.65069356
6107,442179,-118.8004728,36.22015678
6109,55365,-119.954753,38.02760109
6111,823318,-119.1260076,34.35755
6113,200849,-121.9016204,38.68664649
6115,72155,-121.3512459,39.26908997
8001,441603,-104.3379352,39.87363358
8003,15445,-105.7882866,37.57289245
8005,572003,-104.339219,39.64977249
8007,12084,-107.0483293,37.19359631
8009,3788,-102.5604692,37.31918311
8011,6499,-103.0717046,37.95508557
8013,294567,-105.357742,40.09247392
8014,55889,-105.0527982,39.95418092
8015,17809,-106.1940667,38.74690309
8017,1836,-102.6033958,38.82793972
8019,9088,-105.644359,39.6891024
8021,8256,-106.1916286,37.20069644
8023,3524,-105.4282694,37.27809648
